1 719,11796  1,000
2 431,726378  1,666
3 243,867562  2,949
4 214,484  3,353
5 357,306  2,013
6 351,556  2,046
7 157,969  4,552
8 162,62  4,422
9 84,807  8,479
10 76,102  9,449
11 70,489  10,202
12,240 2,996
13 62,193  11,563
14 56,796  12,661
15 56,14  12,809
16 50,4  14,268
17 50,1  14,354
18 49,55  14,513
19 44,64  16,109
20 44,873  16,026
21,320 2,247
22 41,549  17,308
23 41,44  17,353
24 37,6  19,125
25 36,21  19,860
26 41,765  17,218
27 35,303  20,370
28 34,645  20,757
29,350 2,055
30 32,407  22,190
31 34,45  20,874
32,716 1,004
